Year,Month,Hydroelectric Power,Solar Energy,Wind Energy,Geothermal Energy,Biomass Energy,Total Renewable Energy
1994.0,4.0,0.0,5.467,0.0,0.51,0.0,48.716
1994.0,5.0,0.0,6.035,0.0,0.527,0.0,50.726
1994.0,6.0,0.0,6.09,0.0,0.51,0.0,49.339
1994.0,7.0,0.0,6.393,0.0,0.527,0.0,51.084
1994.0,8.0,0.0,6.326,0.0,0.527,0.0,51.017
1994.0,9.0,0.0,5.77,0.0,0.51,0.0,49.019
1994.0,10.0,0.0,5.259,0.0,0.527,0.0,49.95
1994.0,11.0,0.0,4.314,0.0,0.51,0.0,47.563
1994.0,12.0,0.0,4.095,0.0,0.527,0.0,48.786
1995.0,1.0,0.0,3.39,0.0,0.561,0.0,48.115
1995.0,2.0,0.0,3.655,0.0,0.506,0.0,44.051
1995.0,3.0,0.0,5.036,0.0,0.561,0.0,49.761
1995.0,4.0,0.0,5.55,0.0,0.542,0.0,48.832
1995.0,5.0,0.0,6.127,0.0,0.561,0.0,50.852
1995.0,6.0,0.0,6.182,0.0,0.542,0.0,49.464
1995.0,7.0,0.0,6.49,0.0,0.561,0.0,51.215
1995.0,8.0,0.0,6.423,0.0,0.561,0.0,51.147
1995.0,9.0,0.0,5.858,0.0,0.542,0.0,49.14
1995.0,10.0,0.0,5.339,0.0,0.561,0.0,50.064
1995.0,11.0,0.0,4.379,0.0,0.542,0.0,47.661
1995.0,12.0,0.0,4.157,0.0,0.561,0.0,48.882
1996.0,1.0,0.0,3.421,0.0,0.593,0.0,49.751
1996.0,2.0,0.0,3.687,0.0,0.555,0.0,47.029
1996.0,3.0,0.0,5.08,0.0,0.593,0.0,51.411
1996.0,4.0,0.0,5.599,0.0,0.574,0.0,50.435
1996.0,5.0,0.0,6.181,0.0,0.593,0.0,52.512
1996.0,6.0,0.0,6.237,0.0,0.574,0.0,51.073
1996.0,7.0,0.0,6.547,0.0,0.593,0.0,52.878
1996.0,8.0,0.0,6.479,0.0,0.593,0.0,52.81
1996.0,9.0,0.0,5.91,0.0,0.574,0.0,50.746
1996.0,10.0,0.0,5.386,0.0,0.593,0.0,51.717
1996.0,11.0,0.0,4.418,0.0,0.574,0.0,49.254
1996.0,12.0,0.0,4.194,0.0,0.593,0.0,50.524
1997.0,1.0,0.0,3.374,0.0,0.637,0.0,40.531
1997.0,2.0,0.0,3.637,0.0,0.575,0.0,37.199
1997.0,3.0,0.0,5.011,0.0,0.637,0.0,42.169
1997.0,4.0,0.0,5.523,0.0,0.616,0.0,41.482
1997.0,5.0,0.0,6.097,0.0,0.637,0.0,43.255
1997.0,6.0,0.0,6.152,0.0,0.616,0.0,42.111
1997.0,7.0,0.0,6.458,0.0,0.637,0.0,43.616
1997.0,8.0,0.0,6.391,0.0,0.637,0.0,43.549
1997.0,9.0,0.0,5.829,0.0,0.616,0.0,41.788
1997.0,10.0,0.0,5.313,0.0,0.637,0.0,42.47
1997.0,11.0,0.0,4.358,0.0,0.616,0.0,40.317
1997.0,12.0,0.0,4.137,0.0,0.637,0.0,41.294
1998.0,1.0,0.0,3.336,0.0,0.654,0.0,36.264
1998.0,2.0,0.0,3.596,0.0,0.591,0.0,33.337
1998.0,3.0,0.0,4.954,0.0,0.654,0.0,37.882
1998.0,4.0,0.0,5.46,0.0,0.633,0.0,37.326
1998.0,5.0,0.0,6.028,0.0,0.654,0.0,38.956
1998.0,6.0,0.0,6.082,0.0,0.633,0.0,37.948
1998.0,7.0,0.0,6.385,0.0,0.654,0.0,39.313
1998.0,8.0,0.0,6.319,0.0,0.654,0.0,39.246
1998.0,9.0,0.0,5.763,0.0,0.633,0.0,37.629
1998.0,10.0,0.0,5.252,0.0,0.654,0.0,38.18
1998.0,11.0,0.0,4.308,0.0,0.633,0.0,36.174
1998.0,12.0,0.0,4.09,0.0,0.654,0.0,37.018
1999.0,1.0,0.0,3.257,0.0,0.722,0.0,37.102
1999.0,2.0,0.0,3.511,0.0,0.652,0.0,34.081
1999.0,3.0,0.0,4.838,0.0,0.722,0.0,38.683
1999.0,4.0,0.0,5.332,0.0,0.699,0.0,38.085
1999.0,5.0,0.0,5.886,0.0,0.722,0.0,39.731
1999.0,6.0,0.0,5.939,0.0,0.699,0.0,38.692
1999.0,7.0,0.0,6.235,0.0,0.722,0.0,40.08
1999.0,8.0,0.0,6.17,0.0,0.722,0.0,40.015
1999.0,9.0,0.0,5.627,0.0,0.699,0.0,38.381
1999.0,10.0,0.0,5.129,0.0,0.722,0.0,38.974
1999.0,11.0,0.0,4.207,0.0,0.699,0.0,36.96
1999.0,12.0,0.0,3.993,0.0,0.722,0.0,37.839
2000.0,1.0,0.0,3.112,0.0,0.728,0.0,39.414
2000.0,2.0,0.0,3.354,0.0,0.681,0.0,37.315
2000.0,3.0,0.0,4.622,0.0,0.728,0.0,40.924
2000.0,4.0,0.0,5.094,0.0,0.705,0.0,40.225
2000.0,5.0,0.0,5.623,0.0,0.728,0.0,41.926
2000.0,6.0,0.0,5.674,0.0,0.705,0.0,40.805
2000.0,7.0,0.0,5.957,0.0,0.728,0.0,42.259
2000.0,8.0,0.0,5.895,0.0,0.728,0.0,42.197
2000.0,9.0,0.0,5.376,0.0,0.705,0.0,40.508
2000.0,10.0,0.0,4.9,0.0,0.728,0.0,41.202
2000.0,11.0,0.0,4.019,0.0,0.705,0.0,39.151
2000.0,12.0,0.0,3.815,0.0,0.728,0.0,40.118
2001.0,1.0,0.0,2.971,0.0,0.803,0.0,35.198
2001.0,2.0,0.0,3.203,0.0,0.725,0.0,32.311
2001.0,3.0,0.0,4.413,0.0,0.803,0.0,36.64
2001.0,4.0,0.0,4.864,0.0,0.777,0.0,36.051
2001.0,5.0,0.0,5.369,0.0,0.803,0.0,37.597
2001.0,6.0,0.0,5.418,0.0,0.777,0.0,36.605
2001.0,7.0,0.0,5.687,0.0,0.803,0.0,37.915
2001.0,8.0,0.0,5.628,0.0,0.803,0.0,37.856
2001.0,9.0,0.0,5.133,0.0,0.777,0.0,36.321
2001.0,10.0,0.0,4.679,0.0,0.803,0.0,36.906
2001.0,11.0,0.0,3.838,0.0,0.777,0.0,35.025
2001.0,12.0,0.0,3.643,0.0,0.803,0.0,35.87
2002.0,1.0,0.0,2.867,0.0,0.867,0.0,36.007
2002.0,2.0,0.0,3.09,0.0,0.783,0.0,33.024
2002.0,3.0,0.0,4.258,0.0,0.867,0.0,37.398
2002.0,4.0,0.0,4.692,0.0,0.839,0.0,36.764
2002.0,5.0,0.0,5.18,0.0,0.867,0.0,38.321
2002.0,6.0,0.0,5.227,0.0,0.839,0.0,37.299
2002.0,7.0,0.0,5.487,0.0,0.867,0.0,38.628
2002.0,8.0,0.0,5.43,0.0,0.867,0.0,38.571
2002.0,9.0,0.0,4.953,0.0,0.839,0.0,37.024
2002.0,10.0,0.0,4.514,0.0,0.867,0.0,37.654
2002.0,11.0,0.0,3.703,0.0,0.839,0.0,35.774
2002.0,12.0,0.0,3.515,0.0,0.867,0.0,36.655
2003.0,1.0,0.0,2.783,0.0,1.104,0.0,37.86
2003.0,2.0,0.0,3.0,0.0,0.997,0.0,34.682
2003.0,3.0,0.0,4.134,0.0,1.104,0.0,39.21
2003.0,4.0,0.0,4.556,0.0,1.068,0.0,38.501
2003.0,5.0,0.0,5.03,0.0,1.104,0.0,40.106
2003.0,6.0,0.0,5.075,0.0,1.068,0.0,39.02
2003.0,7.0,0.0,5.327,0.0,1.104,0.0,40.404
2003.0,8.0,0.0,5.272,0.0,1.104,0.0,40.349
2003.0,9.0,0.0,4.809,0.0,1.068,0.0,38.754
2003.0,10.0,0.0,4.382,0.0,1.104,0.0,39.459
2003.0,11.0,0.0,3.595,0.0,1.068,0.0,37.54
2003.0,12.0,0.0,3.412,0.0,1.104,0.0,38.489
2004.0,1.0,0.0,2.741,0.0,1.186,0.0,38.654
2004.0,2.0,0.0,2.955,0.0,1.109,0.0,36.55
2004.0,3.0,0.0,4.071,0.0,1.186,0.0,39.984
2004.0,4.0,0.0,4.487,0.0,1.148,0.0,39.241
2004.0,5.0,0.0,4.953,0.0,1.186,0.0,40.866
2004.0,6.0,0.0,4.998,0.0,1.148,0.0,39.752
2004.0,7.0,0.0,5.247,0.0,1.186,0.0,41.159
2004.0,8.0,0.0,5.192,0.0,1.186,0.0,41.105
2004.0,9.0,0.0,4.736,0.0,1.148,0.0,39.49
2004.0,10.0,0.0,4.316,0.0,1.186,0.0,40.229
2004.0,11.0,0.0,3.54,0.0,1.148,0.0,38.294
2004.0,12.0,0.0,3.361,0.0,1.186,0.0,39.273
2005.0,1.0,0.0,2.674,0.0,1.35,0.0,40.545
2005.0,2.0,0.0,2.883,0.0,1.22,0.0,37.089
2005.0,3.0,0.0,3.972,0.0,1.35,0.0,41.843
2005.0,4.0,0.0,4.378,0.0,1.307,0.0,41.027
2005.0,5.0,0.0,4.833,0.0,1.35,0.0,42.704
2005.0,6.0,0.0,4.877,0.0,1.307,0.0,41.526
2005.0,7.0,0.0,5.119,0.0,1.35,0.0,42.99
2005.0,8.0,0.0,5.066,0.0,1.35,0.0,42.937
2005.0,9.0,0.0,4.621,0.0,1.307,0.0,41.27
2005.0,10.0,0.0,4.211,0.0,1.35,0.0,42.082
2005.0,11.0,0.0,3.454,0.0,1.307,0.0,40.104
2005.0,12.0,0.0,3.279,0.0,1.35,0.0,41.15
2006.0,1.0,0.0,2.782,0.0,1.554,0.0,36.61
2006.0,2.0,0.0,2.999,0.0,1.404,0.0,33.553
2006.0,3.0,0.0,4.132,0.0,1.554,0.0,37.96
2006.0,4.0,0.0,4.554,0.0,1.504,0.0,37.291
2006.0,5.0,0.0,5.027,0.0,1.554,0.0,38.855
2006.0,6.0,0.0,5.072,0.0,1.504,0.0,37.809
2006.0,7.0,0.0,5.325,0.0,1.554,0.0,39.153
2006.0,8.0,0.0,5.27,0.0,1.554,0.0,39.098
2006.0,9.0,0.0,4.806,0.0,1.504,0.0,37.543
2006.0,10.0,0.0,4.38,0.0,1.554,0.0,38.209
2006.0,11.0,0.0,3.593,0.0,1.504,0.0,36.33
2006.0,12.0,0.0,3.411,0.0,1.554,0.0,37.239
2007.0,1.0,0.0,2.895,0.0,1.868,0.0,40.434
2007.0,2.0,0.0,3.12,0.0,1.688,0.0,37.027
2007.0,3.0,0.0,4.299,0.0,1.868,0.0,41.839
2007.0,4.0,0.0,4.738,0.0,1.808,0.0,41.067
2007.0,5.0,0.0,5.231,0.0,1.868,0.0,42.771
2007.0,6.0,0.0,5.278,0.0,1.808,0.0,41.607
2007.0,7.0,0.0,5.541,0.0,1.868,0.0,43.08
2007.0,8.0,0.0,5.483,0.0,1.868,0.0,43.023
2007.0,9.0,0.0,5.001,0.0,1.808,0.0,41.33
